52: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='127', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
53: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='65', rewire_factor='194', samples_per_batch='695762', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
54: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='88', rewire_factor='292', samples_per_batch='227', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
55: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='20', rewire_factor='185', samples_per_batch='922425', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
56: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='109', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
57: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='32', rewire_factor='124', samples_per_batch='636218', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
58: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='9', rewire_factor='156', samples_per_batch='152', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
59: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='81', rewire_factor='204', samples_per_batch='388274', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
60: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='25', rewire_factor='134', samples_per_batch='359', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
61: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='52', rewire_factor='192', samples_per_batch='993748', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
62: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='88', rewire_factor='273', samples_per_batch='410', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
63: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='61', rewire_factor='205', samples_per_batch='873015', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
64: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='31', rewire_factor='135', samples_per_batch='3990', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
65: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='76', rewire_factor='106', samples_per_batch='842080', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
66: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='12', rewire_factor='162', samples_per_batch='256561', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
67: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='198', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
68: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='86', rewire_factor='237', samples_per_batch='558876', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
69: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='109', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
70: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='85', rewire_factor='133', samples_per_batch='240037', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
71: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='120', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
72: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='53', rewire_factor='251', samples_per_batch='877179', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
73: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='192', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
74: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='95', rewire_factor='293', samples_per_batch='76603', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
75: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='198', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
76: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='66', rewire_factor='200', samples_per_batch='250668', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
77: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='42', rewire_factor='107', samples_per_batch='91', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
78: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='49', rewire_factor='130', samples_per_batch='573303', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
79: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='2', rewire_factor='127', samples_per_batch='100', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
80: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='47', rewire_factor='145', samples_per_batch='162825', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
